Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66bcc9fd18da3ed2ffad9cde,66aa826226ace74112a5a24f,APPROVED,Not Applicable,2024-08-14T15:15:34.412000Z,2024-08-14T16:02:07.803000Z,2024-08-15T08:17:49.157000Z,2024-08-14T16:02:08.667915Z,2794,CLMUZNH2,74,33,Female,Black,United States,United States,United States,English,DATA_EXPIRED,Full-Time
66bcca167c29101835d3eca5,5c2805401d4eb70001177bfc,APPROVED,Not Applicable,2024-08-14T15:15:57.340000Z,2024-08-14T15:46:15.397000Z,2024-08-15T08:17:49.438000Z,2024-08-14T15:46:28.093469Z,1819,CLMUZNH2,2608,37,Female,White,United States,United States,United States,English,No,Other
66bcca1cc4ea7313ee1709e4,6688090f82813cfbe67afe2c,APPROVED,Not Applicable,2024-08-14T15:15:56.965000Z,2024-08-14T15:53:24.207000Z,2024-08-15T08:17:49.706000Z,2024-08-14T15:54:20.149127Z,2248,CLMUZNH2,37,28,Female,White,United States,United States,United States,English,Yes,Full-Time
66bcca2ea62057a238a0f42e,6234d77291179c1badffad36,APPROVED,Not Applicable,2024-08-14T15:15:58.356000Z,2024-08-14T15:57:45.399000Z,2024-08-15T08:16:57.645000Z,2024-08-14T15:59:56.985900Z,2508,CLMUZNH2,4229,29,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66bcca373bedc4e83a4fdd7a,6643817a0a8e0da55d38d56f,APPROVED,Not Applicable,2024-08-14T15:16:29.820000Z,2024-08-14T15:52:22.546000Z,2024-08-15T08:16:58.076000Z,2024-08-14T15:52:30.709755Z,2153,NOCODE,205,24,Male,Black,United States,United States,United States,English,No,Full-Time
66bcca52577d21b962ff19da,663984bdbfc56c90f7d75dc8,APPROVED,Not Applicable,2024-08-14T15:17:10.242000Z,2024-08-14T15:58:58.988000Z,2024-08-15T08:16:58.429000Z,2024-08-14T16:00:31.145346Z,2509,CLMUZNH2,92,27,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66bcca7a2e0bf2bc895a8886,5910a5f8748d450001ba3a67,APPROVED,Not Applicable,2024-08-14T15:19:09.116000Z,2024-08-14T15:48:18.930000Z,2024-08-15T08:16:58.743000Z,2024-08-14T15:48:36.561695Z,1750,CLMUZNH2,1308,37,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66bcca7d178cc5a172f7c666,669136cff0507cfbfa7db59c,APPROVED,Not Applicable,2024-08-14T15:17:30.751000Z,2024-08-14T16:01:09.801000Z,2024-08-15T08:16:59.091000Z,2024-08-14T16:01:10.833087Z,2620,CLMUZNH2,42,31,Male,Black,United States,United States,United States,English,No,Part-Time
66bccb3dc48703a08b9c46b7,66927feeb5bedd35aee3cc5f,APPROVED,Not Applicable,2024-08-14T15:20:42.327000Z,2024-08-14T15:50:37.418000Z,2024-08-15T08:17:50.044000Z,2024-08-14T15:50:38.125694Z,1796,CLMUZNH2,176,29,Female,White,United States,United States,United States,English,Yes,DATA_EXPIRED
66bcccda79463e7000fecc4a,66743dc61dc3fc51cbb8fefd,APPROVED,Not Applicable,2024-08-14T15:27:52.785000Z,2024-08-14T15:57:40.043000Z,2024-08-15T08:16:59.405000Z,2024-08-14T15:59:53.473432Z,1788,CLMUZNH2,163,20,Male,Asian,Philippines,United States,Philippines,Tagalog-Filipino,Yes,Unemployed (and job seeking)
